Item,Spend Category,Exiobase Spend Category,Item Classification,Item Category 1,Item Category 2
"Cheese, from goat's milk, from raw milk","Agriculture, hunting, forestry and fishing",Meat animals nec,Food and live animals,Dairy,Other cheese 
"Cheese, from goat's milk, from pasteurised milk","Agriculture, hunting, forestry and fishing",Meat animals nec,Food and live animals,Dairy,Other cheese 
"Cheese, dry, from goat's milk","Agriculture, hunting, forestry and fishing",Meat animals nec,Food and live animals,Dairy,Other cheese 
Head-cheese pâté or brawn,"Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Processed cheese, double cream, around 31% fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Processed cheese, around 20% fat, in wedges or cubes","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Processed cheese, in slices","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Petit-Suisse, fresh cream cheese type, fruits flavoured, 2-3% fat, fortified with calcium and vitamin D","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Petit-Suisse, fresh cream cheese type, with fruits, 2-3% fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Petit-Suisse, fresh cream cheese type, with fruits, 2-3% fat, fortified with calcium and vitamin D","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Petit-Suisse, fresh cream cheese type, plain, fat free","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Petit-Suisse like fresh cream cheese, plain, around 9% fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Petit-Suisse, fresh cream cheese type, plain, around 4% fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Cheese and ham, breaded","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Soft-ripened round cheese with bloomy rind, 5 to 11% fat, Camembert-type cheese, reduced fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Soft-ripened round cheese with bloomy rind, around 11% fat, Coulommiers-type cheese, reduced fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Soft-ripened round cheese with bloomy rind, around 5% fat, Camembert-type cheese, reduced fat","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
Feta-type cheese from cow's milk,"Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,"Fresh (unripened or uncured) cheese, including whey cheese, and curd"
"Feta-type cheese from cow's milk, in oil and spices","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,"Fresh (unripened or uncured) cheese, including whey cheese, and curd"
Fructose,"Food, beverages and tobacco",Sugar,Food and live animals,Sugar and candy,Pure fructose
"Breadfruit, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,Other fresh fruit
"Passion fruit, pulp and pips, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,Other fresh fruit
"Red berries (raspberries, strawberries, red currants, black currants) , raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries; frozen"
"Toothed wrack or bladder wrack (Fucus serratus et vesiculosus), dried or dehydrated","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables; mixtures of vegetables, dried, whole, cut, sliced, broken or in powder, but not further prepared"
"Puffed rice textured bread, wholemeal","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Buckwheat crepe, plain, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Buckwheat, unmilled"
Twelfth Night cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Twelfth Night cake (puff pastry filled with almond paste),"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Puffed cereals textured bread,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Chocolate cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Sponge cake w chocolate w or wo cherry,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Chocolate cake w melting centre, refrigerated","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Lemon cake, all types","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Fresh cream cheese cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Yogurt cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Almond cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Basque cake (shortbread), with cherries","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Basque cake (shortbread), with custard","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Rice pudding w caramel sauce, refrigerated","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,Broken rice
"Rice pudding, canned","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,Broken rice
"Semolina pudding, with raisins and caramel sauce, refrigerated","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Durum wheat, unmilled"
"Semolina pudding, canned","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Durum wheat, unmilled"
Marble cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Chocolate soft cake, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Fruit soft cake,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Soft cake with nuts,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Soft cake filled with chocolate or chocolate drops or milk,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Soft cake filled with fruits, mini sponge roll type","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Soft cake, plain, sponge cake type","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Sponge cake w fruit mousse,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Chou pastry with praline flavoured creme,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Fruit shortbread cake, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Wafer biscuit, crunchy (thin or dry), with chocolate, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Wafer biscuit, crunchy (thin or dry), plain or with sugar, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Soft waffle (Brussels-style), with chocolate, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Soft waffle (Brussels-style), plain or with sugar, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Wafer biscuit, filled with chocolate, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Wafer biscuit, filled with nuts (hazelnut, almond, praline, etc.), with chocolate or not, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Wafer biscuit, with fruits","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Wafer biscuit without filling,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Wafer biscuit, plain or vanilla flavoured, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Gelatine, dried",Chemicals and chemical products,Chemicals nec,Chemicals and related products,Chemical materials,"Gelatin (including gelatin in rectangular, including square, sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, n.e.s."
Sponge cake filled and covered with chocolate,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Dried sponge cake filled with fruits and covered with chocolate,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Gizzard, chicken, raw","Agriculture, hunting, forestry and fishing",Poultry,Food and live animals,Meat,"Poultry, cuts and offal, fresh or chilled "
Gin,"Food, beverages and tobacco",Beverages,Beverages and tobacco,Beverages,Gin and geneva
"Ginger, powder","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Coffee tea cocoa and spices,Ginger (excluding ginger preserved in sugar or conserved in syrup)
"Ginger, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Coffee tea cocoa and spices,Ginger (excluding ginger preserved in sugar or conserved in syrup)
Ice lolly,"Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
Frozen yogurt,"Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream on stick, with chocolate coating","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, cone (normal size)","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, in box","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, luxury, in box","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, luxury, in cup","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, cone, mini","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, in cup for children","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Ice cream, in individual cup","Food, beverages and tobacco",Dairy products,Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
"Gnocchi, from potato, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, frozen "
"Gnocchi, from potato, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, frozen "
"Gnocchi, from semolina, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Durum wheat, unmilled"
"Gnocchi, from semolina, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Durum wheat, unmilled"
"Okra, cooked, without salt","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
"Gorgonzola cheese, from cow's milk","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Gouda cheese, from cow's milk","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
Small cheese chou-pastry puff,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Biscuit (cookie), snack w chocolate filling","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Biscuit (cookie), snack with fruits filling","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Biscuit (cookie), snack with dairy or vanilla filling","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
"Guava, pulp, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Avocados, guavas, mangoes and mangosteens, fresh or dried"
"Gracilaria seaweeds (Gracilaria verrucosa), dried or dehydrated","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Crude materials,Crude animal and vegetable materials,Seaweeds and other algae
"Breakfast cereals, popped or puffed wheat grain, with honey or caramel, fortified with vitamins and chemical elements","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,Prepared foods obtained by the swelling or roasting of cereals or cereal products and from unroasted cereal flakes or from mixtures of unroasted and roasted cereal flakes or swelled cereals 
"Breakfast cereals, chocolate puffed/popped wheat grain, fortified with vitamins and chemical elements","Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,Prepared foods obtained by the swelling or roasting of cereals or cereal products and from unroasted cereal flakes or from mixtures of unroasted and roasted cereal flakes or swelled cereals 
Duck fat,"Agriculture, hunting, forestry and fishing",Poultry,Animal and vegetable oils,Animal oils and fats,"Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted"
Turkey fat,"Agriculture, hunting, forestry and fishing",Poultry,Animal and vegetable oils,Animal oils and fats,"Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted"
Chicken fat,"Agriculture, hunting, forestry and fishing",Poultry,Animal and vegetable oils,Animal oils and fats,"Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted"
Goose fat,"Agriculture, hunting, forestry and fishing",Poultry,Animal and vegetable oils,Animal oils and fats,"Lard; other pig fat and poultry fat, rendered, whether or not pressed or solvent-extracted"
"Grana Padano cheese, from cow's milk","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
Eggplant au gratin (oven grilled),"Food, beverages and tobacco",Food products nec,,,
"Dauphiné-style creamed potatoes ""au gratin""","Food, beverages and tobacco",Food products nec,,,
Cauliflower au gratin (oven grilled),"Food, beverages and tobacco",Food products nec,,,
Vegetables au gratin (oven grilled),"Food, beverages and tobacco",Food products nec,,,
Vegetables au gratin (oven grilled) in bechamel sauce,"Food, beverages and tobacco",Food products nec,,,
Pasta au gratin (oven grilled),"Food, beverages and tobacco",Food products nec,,,
Fish brandade or fish shepherd's pie,"Food, beverages and tobacco",Food products nec,,,
"Fish or seafood au gratin, intended to be cook","Food, beverages and tobacco",Food products nec,,,
"Fish and shrimp 'au gratin', previously frozen","Food, beverages and tobacco",Food products nec,,,
"Pomegranate, pulp and pips, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,Other fresh fruit
"Roundnose grenadier, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, frozen"
"Blue grenadier, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, frozen"
Grissini or bread stick,"Food, beverages and tobacco",Food products nec,Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
"Morello cherry, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Apricots, cherries, peaches, nectarines, plums and sloes, fresh."
"Tub gurnard, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, frozen"
"Red gurnard, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Other fish, frozen"
"Gooseberry, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries; frozen"
"Red currant, raw","Agriculture, hunting, forestry and fishing","Vegetables, fruit, nuts",Food and live animals,Fruit,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries; frozen"
"Gruyere cheese, from cow's milk","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Gruyere cheese, France, Protected Geographical Indication, from cow's milk","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Dairy,Other cheese 
"Guacamole, prepacked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Other vegetables and mixtures of vegetables, uncooked or cooked by steaming or boiling in water, frozen"
"Candies, marshmallows","Food, beverages and tobacco",Food products nec,Food and live animals,Sugar and candy,"Other sugar confectionery (including white chocolate), not containing cocoa"
"Burger, beef based, 15% fat, raw","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Meat,"Bovine, fresh or chilled, boneless"
"Poultry, minced meat","Agriculture, hunting, forestry and fishing",Poultry,Food and live animals,Meat,"Poultry, cuts and offal, frozen"
Shepherd's pie or cottage pie with meat,"Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Meat,"Sheep, frozen"
"Haddock, smoked","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Fish (including fillets), smoked"
"Hamburger, from fast foods restaurant","Agriculture, hunting, forestry and fishing",Cattle,Food and live animals,Meat,"Meat and offal (other than liver), of bovine animals, prepared or preserved, n.e.s."
"Atlantic herring, smoked, in oil","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Fish (including fillets), smoked"
"Atlantic herring, smoked, plain","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Fish (including fillets), smoked"
"Atlantic herring, smoked, fillet","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Fish (including fillets), smoked"
"Atlantic herring, oily, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
"Atlantic herring, lean, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
"Atlantic herring, marinated, or rollmops","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
"Atlantic herring, raw","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
"Atlantic herring, fried","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
"Atlantic herring, grilled/pan-fried","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
"Butter bean or yellow bean, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Butter bean or yellow bean, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Butter bean or yellow bean, frozen, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Haricot bean, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Haricot bean, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Haricot bean, dry","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Lima bean, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Sea thong (Himanthalia elongata), dried or dehydrated","Agriculture, hunting, forestry and fishing",Fish and other fishing products; services incidental of fishing,Crude materials (inedible),Crude animal and vegetable materials,Seaweeds and other algae
"Flageolet bean, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Flageolet bean, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"flageolet bean, frozen","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Flageolet bean, green, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Flageolet bean, green, dried","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Mung bean, sprouted or soy spouts, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Mung bean, sprouted or soy spouts, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Mung bean, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Beans, mung, mature, seeds, dry","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Flat bean, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Red kidney bean, canned, drained","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Red kidney bean, cooked","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"Red kidney bean, dried","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
"French bean by plane, raw","Food, beverages and tobacco",Food products nec,Food and live animals,Vegetables,"Beans, other than broad beans and horse beans"
